Lab No. ,pH,EC,OC,P,K,Ca,Mg,S,Zn,Fe,Mn,Cu,Leaf yield Mt/ha/yr,,,
1,5.3,0.16,0.75,13,52,2.8,1.3,19.82,2.481,13.75,38.07,1.005,50.36,,,
2,5.3,0.09,0.5,7,34,2.1,1.1,11.32,2.12,15.825,10.58,0.74,48.62,,,
3,5.6,0.06,0.25,10,45,1.2,1.1,19.11,1.327,8.412,6.85,0.219,49.36,,,
4,5.6,0.08,0.5,13,52,2.8,0.9,4.2,2.021,10.832,6.16,1.156,48.71,,,
5,5.6,0.09,0.25,15,45,2.3,0.2,7.8,0.975,7.062,3.82,0.313,49.88,,,
6,5.7,0.11,0.5,19,56,2.5,0.1,14.8,2.025,18.612,0.447,0.707,53.36,,,
7,5.5,0.12,0.37,14,39,2.5,1.3,9.2,1.536,9.237,14.58,0.879,50.28,,,
8,6.1,0.11,0.12,11,58,4.1,0.2,19.82,1.766,3.587,2.625,0.378,55.14,,,
9,5.6,0.12,0.25,13,36,2.1,0.3,14.1,1.593,7.175,7.35,0.147,53.71,,,
10,5.2,0.09,0.5,11,133,2,0.1,12,2.241,25.962,9.162,1.211,49.21,,,
11,6.1,0.11,0.56,15,60,2.6,1.2,16.9,1.753,22.025,5.16,0.621,54.69,,,
12,5.3,0.09,0.45,10,39,1.2,0.6,25.41,2.413,10.275,3.07,0.356,48.29,,,
13,5.7,0.11,0.55,12,41,2.8,1.3,16.2,3.403,20.762,14.237,2.625,54.67,,,
14,5.5,0.12,0.37,11,34,1.8,0.8,14.1,1.26,6.475,0.887,0.231,48.21,,,
15,5.3,0.08,0.64,18,45,0.9,0.3,9.2,0.867,11.275,5.262,0.343,53.27,,,
16,5.5,0.11,0.5,15,77,1.9,0.8,24,2.429,14.3,6.275,0.633,50.23,,,
17,5.5,0.12,0.37,19,43,2.2,1.6,17.7,2.677,18.737,6.562,1.111,48.25,,,
18,5.8,0.13,0.5,12,41,2.6,1.1,11.32,1.799,7.7,9.837,0.674,54.97,,,
19,5.3,0.11,0.12,11,41,1.1,0.7,4.95,2.773,5.35,1.625,0.58,42.36,,,
20,5.4,0.12,0.32,17,28,1.6,0.8,26.9,0.712,5.15,5.562,0.146,42.75,,,
21,5.5,0.11,0.25,12,28,2,1.4,11.32,0.926,4.537,3.925,0.098,43.31,,,
22,5.5,0.09,0.25,16,36,2,1.3,7.7,1.358,10.512,3.625,0.218,45.67,,,
23,5.6,0.08,0.48,18,32,2.5,0.8,1.41,2.084,11.337,6.05,0.487,49.68,,,
24,5.5,0.09,0.55,13,52,2,1.3,0.7,3.418,7.962,4.562,0.367,48.67,,,
25,5.5,0.11,0.55,20,28,1.2,1.4,14.1,2.638,7.837,15.187,0.258,48.12,,,
26,5.4,0.12,0.37,17,30,1.3,1.3,9.9,2.513,9.037,4.05,0.316,47.26,,,
27,5.4,0.13,0.12,16,26,1.8,1.7,10.6,2.355,6.212,5.362,0.333,48.06,,,
28,5.5,0.11,0.62,10,24,1.4,0.6,13.4,1.714,10.662,7.375,0.201,49.23,,,
29,5.5,0.09,0.62,7,45,2.9,0.9,4.2,1.949,11.925,5.812,0.794,49.98,,,
30,5.2,0.11,0.4,8,97,2.5,0.9,5.66,2.836,8.675,4.25,2.809,46.23,,,
